src_port,dst_port,protocol,duration,pkt_count,total_bytes,mean_pkt_len,max_pkt_len,mean_iat,bytes_per_sec,label
56521,5355,17,0.10965466499328613,2,158,79.0,79,0.10965466499328613,1440.887170734359,0
53,62690,17,0,1,255,255.0,255,0,0,0
53,62690,17,0,1,307,307.0,307,0,0,0
3702,3702,17,0.0005393028259277344,2,1674,837.0,845,0.0005393028259277344,3104007.469496021,0
1900,1900,17,0.0011310577392578125,4,1615,403.75,444,0.0003770192464192708,1427866.981450253,0
5353,5353,17,3.0965094566345215,2,226,113.0,113,3.0965094566345215,72.98540604026795,0
53,49300,17,0.7162556648254395,2,310,155.0,234,0.7162556648254395,432.80635005595514,0
443,36462,6,0.885063648223877,14,9807,700.5,2958,0.06808181909414437,11080.559030619364,0
443,51459,6,0.3792893886566162,9,11501,1277.888888888889,7314,0.047411173582077026,30322.493441577015,0
53,49300,17,0,1,183,183.0,183,0,0,0
443,52923,6,0.37409138679504395,27,113351,4198.185185185185,13122,0.014388130261347843,303003.5012864448,0
443,22785,6,0,1,66,66.0,66,0,0,0
